ir,resp,pr,spo2,spo2_real,rrInterval
487372,20266,76,99,99,64
487947,20269,76,99,99,64
488041,20262,76,99,99,64
487761,20254,76,99,99,64
487290,20264,76,99,99,64
486715,20255,76,99,99,64
486306,20248,76,99,99,64
485993,20254,76,99,99,64
485902,20246,76,99,99,64
486079,20248,76,99,99,64
486564,20255,76,99,99,64
487312,20247,76,99,99,64
488316,20249,76,99,99,64
489496,20255,76,99,99,64
490930,20250,76,99,99,64
492471,20243,76,99,99,64
494085,20250,76,99,99,64
495786,20237,76,99,99,64
497479,20234,76,99,99,64
499154,20239,76,99,99,64
500827,20233,76,99,99,64
502459,20233,76,99,99,64
504107,20231,76,99,99,64
505664,20222,76,99,99,64
507168,20227,76,99,99,64
508769,20224,76,99,99,64
510388,20210,76,99,99,64
512007,20220,76,99,99,64
513679,20213,76,99,99,64
515274,20216,76,99,99,64
516754,20222,76,99,99,64
517764,20222,76,99,99,64
517726,20228,76,99,99,64
516176,20232,76,99,99,64
512749,20236,76,99,99,64
507031,20237,76,99,99,64
499055,20243,76,99,99,64
489753,20247,76,99,99,64
480526,20238,76,99,99,64
472328,20239,76,99,99,64
465473,20234,76,99,99,64
460091,20229,76,99,99,64
456239,20235,76,99,99,64
453775,20221,76,99,99,64
452488,20226,76,99,99,64
452111,20228,76,99,99,64
452429,20216,76,99,99,64
453162,20221,76,99,99,64
454178,20227,76,99,99,64
455280,20219,76,99,99,64
456401,20215,76,99,99,64
457466,20217,76,99,99,64
458483,20203,76,99,99,64
459464,20204,76,99,99,64
460507,20201,76,99,99,64
461666,20197,76,99,99,64
463046,20199,76,99,99,64
464731,20202,76,99,99,64
466736,20199,76,99,99,64
468998,20192,76,99,99,64
471363,20197,76,99,99,64
473673,20183,76,99,99,64
475730,20172,76,99,99,64
477316,20174,76,99,99,64
478472,20168,76,99,99,64
479123,20161,76,99,99,64
479434,20170,76,99,99,64
479460,20166,76,99,99,64
479342,20156,76,99,99,64
479203,20167,76,99,99,64
479106,20165,76,99,99,64
479143,20157,76,99,99,64
479307,20166,76,99,99,64
