ir,resp,pr,spo2,spo2_real,rrInterval
448735,20229,57,100,100,108
448940,20231,57,100,100,108
449156,20216,57,100,100,108
449374,20213,57,100,100,108
449627,20222,57,100,100,108
449858,20219,57,100,100,108
450082,20204,57,100,100,108
450319,20208,57,100,100,108
450520,20210,57,100,100,108
450601,20204,57,100,100,108
450547,20211,57,100,100,108
450233,20212,57,100,100,108
449598,20202,57,100,100,108
448700,20214,57,100,100,108
447488,20213,57,100,100,108
446128,20209,57,100,100,108
444818,20213,57,100,100,108
443622,20204,57,100,100,108
442651,20195,57,100,100,108
441875,20201,57,100,100,108
441309,20199,57,100,100,108
440969,20189,57,100,100,108
440793,20188,57,100,100,108
440709,20186,57,100,100,108
440700,20185,57,100,100,108
440742,20184,57,100,100,108
440775,20172,57,100,100,108
440779,20168,57,100,100,108
440740,20162,57,100,100,108
440648,20158,57,100,100,108
440539,20148,57,100,100,108
440423,20143,57,100,100,108
440259,20136,57,100,100,108
440100,20125,57,100,100,108
439982,20122,57,100,100,108
439909,20108,57,100,100,108
439834,20102,57,100,100,108
439819,20093,57,100,100,108
439855,20084,56,100,100,104
439923,20078,56,100,100,104
440061,20075,56,100,100,104
440214,20071,56,100,100,104
440368,20069,56,100,100,104
440515,20057,56,100,100,104
440644,20054,56,100,100,104
440737,20046,56,100,100,104
440772,20037,56,100,100,104
440782,20031,56,100,100,104
440770,20024,56,100,100,104
440724,20017,56,100,100,104
440706,20003,56,100,100,104
440682,19992,56,100,100,104
440700,19984,56,100,100,104
440772,19972,56,100,100,104
440875,19961,56,100,100,104
440991,19955,56,100,100,104
441123,19946,56,100,100,104
441273,19943,56,100,100,104
441425,19934,56,100,100,104
441584,19921,56,100,100,104
441777,19912,56,100,100,104
441971,19903,56,100,100,104
442117,19899,56,100,100,104
442326,19889,56,100,100,104
442551,19887,56,100,100,104
442748,19882,56,100,100,104
442961,19883,56,100,100,104
443163,19874,56,100,100,104
443366,19869,56,100,100,104
443536,19869,56,100,100,104
443686,19869,56,100,100,104
443836,19864,56,100,100,104
443984,19868,56,100,100,104
444149,19868,56,100,100,104
444353,19859,56,100,100,104
444516,19864,56,100,100,104
444728,19867,56,100,100,104
444941,19859,56,100,100,104
445084,19864,56,100,100,104
445285,19861,56,100,100,104
445457,19857,56,100,100,104
445611,19862,56,100,100,104
445807,19858,56,100,100,104
445992,19850,56,100,100,104
446192,19859,56,100,100,104
446409,19853,56,100,100,104
446632,19854,56,100,100,104
446853,19861,56,100,100,104
447072,19858,56,100,100,104
447313,19856,56,100,100,104
447508,19859,56,100,100,104
447720,19862,56,100,100,104
447961,19857,56,100,100,104
448169,19871,56,100,100,104
448400,19866,56,100,100,104
448658,19861,56,100,100,104
448878,19865,56,100,100,104
449139,19858,56,100,100,104
449379,19854,56,100,100,104
449614,19855,56,100,100,104
449857,19852,56,100,100,104
450085,19847,56,100,100,104
450321,19847,56,100,100,104
450540,19838,56,100,100,104
450808,19840,56,100,100,104
451075,19839,56,100,100,104
451312,19843,56,100,100,104
451555,19846,56,100,100,104
451801,19843,56,100,100,104
451998,19849,56,100,100,104
452203,19859,56,100,100,104
452436,19868,56,100,100,104
452639,19871,56,100,100,104
452869,19884,56,100,100,104
453159,19893,56,100,100,104
453435,19899,56,100,100,104
453699,19911,56,100,100,104
453997,19917,56,100,100,104
454277,19924,56,100,100,104
454496,19937,56,100,100,104
454759,19945,56,100,100,104
455020,19952,56,100,100,104
455196,19970,56,100,100,104
455270,19969,56,100,100,104
455103,19978,56,100,100,104
454638,19992,56,100,100,104
453837,20005,56,100,100,104
452627,20010,56,100,100,104
451197,20025,56,100,100,104
449754,20036,56,100,100,104
448404,20047,56,100,100,104
447271,20056,56,100,100,104
446413,20060,56,100,100,104
