ir,pr,spo2,rrInterval
448751,64,99,91
449047,64,99,91
449339,64,99,91
449641,64,99,91
449951,64,99,91
450264,64,99,91
450584,64,99,91
450899,64,99,91
451229,64,99,91
451542,64,99,91
451873,64,99,91
452195,64,99,91
452504,64,99,91
452810,64,99,91
453116,64,99,91
453406,64,99,91
453716,64,99,91
454023,64,99,91
454290,64,99,91
454594,64,99,91
454877,64,99,91
455158,64,99,91
455444,64,99,91
455690,64,99,91
455959,64,99,91
456248,64,99,91
456523,64,99,91
456805,64,99,91
457090,64,99,91
457370,64,99,91
457676,64,99,91
457960,64,99,91
458236,64,99,91
458531,64,99,91
458833,64,99,91
459124,64,99,91
459440,64,99,91
459737,64,99,91
460015,64,99,91
460344,64,99,91
460660,64,99,91
460986,64,99,91
461320,64,99,91
461636,64,99,91
461967,64,99,91
462249,64,99,91
462378,64,99,91
462262,64,99,91
461896,64,99,91
461154,64,99,91
459996,64,99,91
458553,64,99,91
457007,64,99,91
455508,64,99,91
454230,64,99,91
453160,64,99,91
452306,64,99,91
451708,64,99,91
451363,64,99,91
451208,64,99,91
451169,64,99,91
451293,64,99,91
451460,64,99,91
451616,64,99,91
451788,64,99,91
451961,64,99,91
452084,64,99,91
452148,64,99,91
452191,64,99,91
452237,64,99,91
452301,64,99,91
452433,64,99,91
452580,64,99,91
452795,64,99,91
453052,64,99,91
453247,64,99,91
453422,64,99,91
453484,64,99,91
453523,64,99,91
453502,64,99,91
453423,64,99,91
453357,64,99,91
453273,64,99,91
453209,64,99,91
453159,64,99,91
453135,64,99,91
453189,64,99,91
453277,64,99,91
453396,64,99,91
453604,64,99,91
453801,64,99,91
454060,64,99,91
454334,64,99,91
454622,64,99,91
454913,64,99,91
455206,64,99,91
455505,64,99,91
455807,64,99,91
456105,64,99,91
456424,64,99,91
456720,64,99,91
457005,64,99,91
457309,64,99,91
457625,64,99,91
457922,64,99,91
458197,64,99,91
458519,64,99,91
458835,64,99,91
459104,64,99,91
459376,64,99,91
459664,64,99,91
459972,64,99,91
460246,64,99,91
460555,64,99,91
460835,64,99,91
461083,64,99,91
461343,64,99,91
461598,64,99,91
461894,64,99,91
462187,64,99,91
462454,64,99,91
462736,64,99,91
463033,64,99,91
463329,64,99,91
463594,64,99,91
463882,64,99,91
464188,64,99,91
464482,64,99,91
464761,64,99,91
465076,64,99,91
