ir,pr,spo2,rrInterval
457967,58,100,95
458064,58,100,95
458193,58,100,95
458379,58,100,95
458579,58,100,95
458737,58,100,95
458793,58,100,95
458843,58,100,95
458829,58,100,95
458734,58,100,95
458667,58,100,95
458545,58,100,95
458509,58,100,95
458497,58,100,95
458492,58,100,95
458591,58,100,95
458642,58,100,95
458666,58,100,95
458700,58,100,95
458671,58,100,95
458633,58,100,95
458534,58,100,95
458421,58,100,95
458301,58,100,95
458171,58,100,95
458073,58,100,95
457955,58,100,95
457915,58,100,95
457911,58,100,95
457881,58,100,95
457955,58,100,95
458112,58,100,95
458224,58,100,95
458373,58,100,95
458544,58,100,95
458694,58,100,95
458816,58,100,95
458959,58,100,95
459090,58,100,95
459204,58,100,95
459377,58,100,95
459483,58,100,95
459618,58,100,95
459751,58,100,95
459865,58,100,95
459984,58,100,95
460054,58,100,95
460187,58,100,95
460278,58,100,95
460367,58,100,95
460502,58,100,95
460585,58,100,95
460686,58,100,95
460807,58,100,95
460908,58,100,95
461013,58,100,95
461131,58,100,95
461264,58,100,95
461378,58,100,95
461489,58,100,95
461616,58,100,95
461751,58,100,95
461869,58,100,95
462007,58,100,95
462169,58,100,95
462305,58,100,95
462433,58,100,95
462583,58,100,95
462716,58,100,95
462844,58,100,95
463014,58,100,95
463171,58,100,95
463325,58,100,95
463515,58,100,95
463698,58,100,95
463906,58,100,95
464097,58,100,95
464302,58,100,95
464469,58,100,95
464568,58,100,95
464696,58,100,95
464677,58,100,95
464491,58,100,95
464064,58,100,95
463319,58,100,95
462243,58,100,95
460893,58,100,95
459498,58,100,95
458098,58,100,95
456973,58,100,95
456093,58,100,95
455421,58,100,95
455064,58,100,95
454861,58,100,95
454857,58,100,95
455012,58,100,95
455175,58,100,95
455337,58,100,95
455507,58,100,95
455623,58,100,95
455632,58,100,95
455601,58,100,95
455523,58,100,95
455421,58,100,95
455310,58,100,95
455211,58,100,95
455168,58,100,95
455141,58,100,95
455199,59,100,94
455262,59,100,94
455321,59,100,94
455335,59,100,94
455328,59,100,94
455299,59,100,94
455203,59,100,94
455143,59,100,94
455024,59,100,94
454898,59,100,94
454817,59,100,94
454734,59,100,94
454648,59,100,94
454601,59,100,94
454629,59,100,94
454636,59,100,94
454713,59,100,94
454840,59,100,94
454978,59,100,94
455151,59,100,94
455291,59,100,94
455430,59,100,94
455585,59,100,94
455722,59,100,94
455843,59,100,94
455989,59,100,94
456098,59,100,94
456260,59,100,94
456416,59,100,94
456521,59,100,94
456647,59,100,94
456747,59,100,94
456819,59,100,94
456920,59,100,94
457036,59,100,94
457117,59,100,94
457220,59,100,94
457356,59,100,94
457442,59,100,94
457582,59,100,94
457720,59,100,94
457801,59,100,94
457936,59,100,94
458046,59,100,94
458135,59,100,94
458246,59,100,94
458382,59,100,94
458528,59,100,94
458675,59,100,94
458801,59,100,94
458956,59,100,94
459123,59,100,94
459261,59,100,94
459360,59,100,94
459517,59,100,94
459709,59,100,94
459857,59,100,94
460029,59,100,94
460217,59,100,94
460419,59,100,94
460579,59,100,94
460755,59,100,94
461004,59,100,94
461201,59,100,94
461378,59,100,94
461556,59,100,94
461708,59,100,94
461773,59,100,94
461712,59,100,94
461437,59,100,94
460865,59,100,94
459986,59,100,94
458773,59,100,94
457375,59,100,94
456019,59,100,94
454815,59,100,94
453857,59,100,94
453188,59,100,94
452732,59,100,94
452491,59,100,94
452489,59,100,94
452556,59,100,94
452697,59,100,94
452916,59,100,94
453088,59,100,94
453236,59,100,94
453298,59,100,94
453310,59,100,94
453297,59,100,94
453199,59,100,94
453088,59,100,94
452987,59,100,94
452912,59,100,94
452874,59,100,94
452897,60,100,94
452969,60,100,94
453052,60,100,94
453109,60,100,94
453141,60,100,94
453143,60,100,94
453090,60,100,94
453004,60,100,94
452890,60,100,94
452755,60,100,94
452649,60,100,94
452538,60,100,94
452456,60,100,94
452407,60,100,94
452395,60,100,94
452439,60,100,94
452491,60,100,94
452602,60,100,94
452737,60,100,94
452873,60,100,94
453021,60,100,94
453181,60,100,94
453363,60,100,94
453479,60,100,94
453620,60,100,94
453779,60,100,94
453888,60,100,94
454038,60,100,94
454169,60,100,94
454308,60,100,94
454422,60,100,94
454573,60,100,94
454702,60,100,94
454779,60,100,94
454941,60,100,94
455050,60,100,94
455127,60,100,94
455227,60,100,94
455337,60,100,94
455447,60,100,94
455558,60,100,94
455689,60,100,94
455796,60,100,94
455895,60,100,94
456025,60,100,94
456160,60,100,94
456262,60,100,94
456380,60,100,94
456531,60,100,94
456681,60,100,94
456853,60,100,94
456999,60,100,94
457187,60,100,94
457357,60,100,94
457540,60,100,94
457743,60,100,94
457912,60,100,94
458039,60,100,94
458204,60,100,94
458388,60,100,94
458545,60,100,94
458735,60,100,94
458894,60,100,94
459092,60,100,94
459297,60,100,94
459476,60,100,94
459624,60,100,94
459732,60,100,94
459736,60,100,94
459540,60,100,94
459165,60,100,94
458484,60,100,94
457447,60,100,94
456216,60,100,94
454919,60,100,94
453730,60,100,94
452691,60,100,94
451934,60,100,94
451462,60,100,94
451169,60,100,94
451123,60,100,94
451203,60,100,94
451374,60,100,94
451611,60,100,94
451765,60,100,94
451914,60,100,94
452015,60,100,94
452034,60,100,94
452007,60,100,94
451939,60,100,94
451856,60,100,94
451767,60,100,94
451702,60,100,94
451677,60,100,94
451700,60,100,94
451782,61,100,95
451882,61,100,95
451934,61,100,95
451980,61,100,95
451998,61,100,95
451946,61,100,95
451835,61,100,95
451764,61,100,95
451669,61,100,95
451537,61,100,95
451464,61,100,95
451429,61,100,95
451402,61,100,95
451367,61,100,95
451443,61,100,95
451543,61,100,95
451619,61,100,95
451737,61,100,95
451887,61,100,95
452073,61,100,95
452246,61,100,95
452398,61,100,95
452559,61,100,95
452743,61,100,95
452883,61,100,95
453040,61,100,95
453189,61,100,95
453360,61,100,95
453536,61,100,95
453660,61,100,95
453799,61,100,95
453925,61,100,95
454054,61,100,95
454154,61,100,95
454243,61,100,95
454369,61,100,95
454536,61,100,95
454667,61,100,95
454774,61,100,95
454916,61,100,95
455026,61,100,95
455118,61,100,95
455244,61,100,95
455392,61,100,95
455532,61,100,95
455711,61,100,95
455863,61,100,95
