ir,pr,spo2,rrInterval
485754,66,98,85
486125,66,98,85
486482,66,98,85
486796,66,98,85
487066,66,98,85
487222,66,98,85
487293,66,98,85
487304,66,98,85
487304,66,98,85
487308,66,98,85
487335,66,98,85
487429,66,98,85
487575,66,98,85
487713,67,98,84
487866,67,98,84
487981,67,98,84
488058,67,98,84
488038,67,98,84
487984,67,98,84
487921,67,98,84
487804,67,98,84
487722,67,98,84
487661,67,98,84
487611,67,98,84
487631,67,98,84
487666,67,98,84
487763,67,98,84
487913,67,98,84
488090,67,98,84
488291,67,98,84
488484,67,98,84
488674,67,98,84
488915,67,98,84
489118,67,98,84
489294,67,98,84
489486,67,98,84
489669,67,98,84
489841,67,98,84
490050,67,98,84
490242,67,98,84
490450,67,98,84
490637,67,98,84
490831,67,98,84
491045,67,98,84
491206,67,98,84
491393,67,98,84
491604,67,98,84
491752,67,98,84
491932,67,98,84
492125,67,98,84
492294,67,98,84
492541,67,98,84
492731,67,98,84
492926,67,98,84
493122,67,98,84
493288,67,98,84
493490,67,98,84
493623,67,98,84
493817,67,98,84
494018,67,98,84
494174,67,98,84
494375,67,98,84
494597,67,98,84
494826,67,98,84
495032,67,98,84
495239,67,98,84
495487,67,98,84
495659,67,98,84
495892,67,98,84
496069,67,98,84
496119,67,98,84
495957,67,98,84
495479,67,98,84
494711,67,98,84
493525,67,98,84
492076,67,98,84
490642,67,98,84
489346,67,98,84
488316,67,98,84
487611,67,98,84
487229,67,98,84
487122,67,98,84
487247,67,98,84
487555,67,98,84
487877,67,98,84
488222,67,98,84
488629,67,98,84
488913,67,98,84
489091,67,98,84
489217,67,98,84
489222,67,98,84
489170,67,98,84
489142,67,98,84
489136,67,98,84
489144,67,98,84
489228,67,98,84
489350,68,98,83
489469,68,98,83
489503,68,98,83
489510,68,98,83
489522,68,98,83
489441,68,98,83
489344,68,98,83
489265,68,98,83
489147,68,98,83
489045,68,98,83
489018,68,98,83
488993,68,98,83
489041,68,98,83
489156,68,98,83
489302,68,98,83
489492,68,98,83
489719,68,98,83
489970,68,98,83
490201,68,98,83
490423,68,98,83
490634,68,98,83
490808,68,98,83
490967,68,98,83
491180,68,98,83
491376,68,98,83
491543,68,98,83
491729,68,98,83
491874,68,98,83
492066,68,98,83
492219,68,98,83
