pr_start_delay,spo2_start_delay
10.74,46.51
32.33,45.59
11.93,39.64
10.65,18.26
11.97,12.91
9.31,46.03
10.06,47.91
9.3,32.56
3.42,39.75
8.33,36.1
4.18,20.4
10.8,49.41
10.28,41.37
9.17,50.07
10.25,10.25
23.87,21.35
7.85,68.22
9.68,43.03
8.3,44.82
7.31,37.72
9.95,50.95
19.57,34.22
6.23,15.56
9.22,85.62
6.78,9.61
4.83,25.05
