f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
5153,620640.7783333333,645232.235,0.9618874331864918,96.75,71.25,1.3578947368421053,3.939648884524271,9.364160400164021,0.4207156558803996,96.83017780285924,71.86271634164687,1.3474327541769093,3,19.0,19.0,1.0,1.6641005886756874,2.6568446566202857,0.6263447072560703,20962.682842936243,8780.279693817356,2.387473243898727,1972.6678555862109,1487.5358620159038,1.3261312926687077
5115,518236.4241666667,553676.3633333333,0.9359915981363097,95.83333333333333,81.78571428571429,1.1717612809315865,2.4438130497691968,15.086316275867684,0.16198871912014465,95.86448768965492,83.16549765377466,1.1526954132920273,5,21.692307692307693,22.733333333333334,0.9542070832393413,2.671346977566975,3.9911012125588714,0.669325791378329,15661.829635662403,9544.731422554189,1.6408874113161025,1655.1768101367081,2517.878373233233,0.6573696441148104
5692,363852.935,362877.0125,1.0026894029282165,101.27272727272727,79.57142857142857,1.2727272727272727,4.350358586911054,11.481129148764605,0.3789138272500978,101.36612308405067,80.39545118617453,1.2608440103074194,3,17.75,21.133333333333333,0.8399053627760252,1.0103629710818451,3.964284999284935,0.25486638101551506,5192.300182700113,3132.365601601997,1.6576290392298383,566.9783293243744,753.9353101771188,0.7520251693625765
6936,685685.8516666667,730467.9083333333,0.9386940122135642,98.9090909090909,78.5,1.259988419224088,3.4233037061386784,11.450202743058433,0.2989731957553346,98.96831448866486,79.3306822286128,1.2475414519121482,2,19.666666666666668,18.8,1.0460992907801419,3.064129385141706,4.230051221124081,0.724371697874489,10459.113510526711,5061.653419216982,2.066343276451491,970.3531410797257,1706.5716108143954,0.5685979626818368
4712,314407.655,328679.9625,0.9565768859426592,89.53846153846153,67.29411764705883,1.330554061323292,3.629269572949369,8.115089111049663,0.4472248577046043,89.61198408866804,67.78165637675484,1.3220683718699995,2,19.357142857142858,18.77777777777778,1.0308537616229925,1.3942300925673667,3.4084137000395485,0.4090554185224608,15924.403200465686,6968.973797808844,2.2850427713578965,1288.6282229826359,1813.0619303195842,0.7107469421938016
4994,404166.215,409953.6091666667,0.9858828071341267,87.15384615384616,70.0625,1.2439442805187677,2.4446536280108773,8.713988395103588,0.280543594639687,87.18812551471233,70.60231936700097,1.2349187150849246,3,18.928571428571427,19.176470588235293,0.9870727432077124,0.8835226340609273,4.105022664086565,0.21522966043295297,8843.665059281748,5815.091227064233,1.5208127807388672,560.4191039329619,1675.2257910782794,0.33453347418454044
5016,427123.3391666667,442418.1041666667,0.9654291611126334,76.8,72.0625,1.0657415437987858,4.3848223073080925,11.648330084179449,0.3764335553354106,76.92507176900563,72.997859557661,1.0537990050001742,3,18.4375,18.58823529411765,0.99189082278481,0.998044963916957,3.789440801977978,0.2633752619637194,13196.182107418346,7046.9350916618705,1.8726129779501497,1320.4723936734597,2855.5382192677566,0.4624250464460838
5456,480458.03833333333,514506.395,0.9338232585686973,92.33333333333333,78.0,1.1837606837606838,3.197221015541813,13.669569958749356,0.2338933137757854,92.3886717442494,79.1887437888564,1.1666894475632599,4,21.307692307692307,22.133333333333333,0.9626969416126042,4.478746654772196,4.047495796442811,1.1065475741095012,10760.864024732784,6519.913622248155,1.6504611331065904,576.1822917427792,2353.9004460472743,0.24477768068327538
5765,497007.10833333334,523184.0475,0.9499660983706376,85.6923076923077,73.6,1.1642976588628764,1.587674418503869,11.516944039110376,0.13785552948006757,85.7070143435898,74.4956374561625,1.15049709312206,4,18.285714285714285,20.4375,0.8947138488422891,0.4517539514526256,3.278123510485839,0.137808703670739,30903.417558809808,17188.258765505896,1.7979376492066814,1318.0178774376964,6271.398747641505,0.21016330335132422
5135,449359.25583333336,475708.69166666665,0.944610144201871,96.66666666666667,80.0,1.2083333333333335,3.4721111093332766,12.392393980641053,0.28018082016737705,96.72900288951602,80.9541316337309,1.194861842594483,3,18.307692307692307,20.533333333333335,0.8916083916083914,0.72160242458822,3.461534662865912,0.20846315142509161,14190.377660964647,6799.674862099028,2.0869200290827057,1582.947920768536,1761.7961109204787,0.8984853076679228
5244,414951.0316666667,435929.885,0.9518756248305084,95.5,70.5625,1.3534100974313552,3.7080992435478315,8.696038968978922,0.4264124455715534,95.57196241576293,71.09632550279937,1.3442602235751246,4,18.307692307692307,18.235294117647058,1.003970223325062,0.8213137116947163,2.1565062093909835,0.38085385894931534,7108.328574978628,3585.122695517019,1.982729512679487,553.3583481576035,801.621673736168,0.690298636236383
5168,442284.515,407681.99583333335,1.0848762504116387,104.72727272727273,72.93333333333334,1.4359315273392057,3.51854590552066,13.89228402947318,0.25327339248577757,104.78636274908018,74.24464065955648,1.4113660167010653,5,19.083333333333332,18.6875,1.0211817168338906,0.8620067027323833,4.6330167008116865,0.186057326877618,6843.563742096075,2973.4916753760126,2.30152443296505,378.2349498323756,1210.411234300165,0.31248466563602517
4899,493415.7025,479226.2733333333,1.0296090384777319,98.18181818181819,70.6875,1.3889558717144925,2.4427325168262555,10.622610025318636,0.2299559628946261,98.21220068625061,71.48120382310303,1.373958403516814,2,18.833333333333332,17.823529411764707,1.0566556655665567,0.6871842709362769,2.7490168107171584,0.2499745611802954,5432.307748347943,3046.5844648531397,1.7830812869354689,241.209543347,783.2468601849207,0.30796107282198565
