label,raw_start_mean,start_ppTime_mean,start_ppTime_std,start_ppTime_rms,start_pnn50_num,start_up_time_mean,start_up_time_std,start_amp_diff_mean,start_amp_diff_std
1,702868.04,101.137931,4.703074108,101.2472222,7,-76.33333333,5.740692951,10855.42342,1006.513989
0,684694.2917,96.8,2.454927019,96.83112447,0,-70.67741935,7.920520905,7447.848725,1126.700339
1,703718.416,100.2758621,5.071193505,100.4040115,7,24.16666667,1.439521525,10875.188,805.3322608
0,687741.3817,94.67741935,10.86096026,95.29834308,0,-68.9375,11.98420184,6602.166346,1134.155187
1,704031.703,98.27586207,5.865718945,98.45075786,8,24.96666667,4.183167327,10887.56052,897.1968275
0,693361.2863,96.2,3.259856848,96.25521631,0,24.96774194,8.726984,6469.503644,834.6538228
1,700315.2053,95.5,5.903388857,95.68228676,7,25.48387097,5.511694124,11722.24391,1642.730242
0,702908.7463,90.78125,6.650819381,91.02455026,0,21.84848485,6.583363846,5460.468835,973.2605601
1,321399.3727,90.09375,3.440197805,90.15940744,6,23.03030303,0.797148269,19573.30903,2549.408148
0,315922.5437,81.08333333,5.813657292,81.29148514,0,-59.83783784,5.893255483,10862.33676,2932.449218
1,581278.495,89.15151515,5.320749618,89.31015077,5,-65.5,6.208390906,26406.77457,4043.876079
1,321124.7097,90.90625,2.854375753,90.9510514,3,-67.15151515,4.279062572,19878.78328,2567.472509
0,315455.724,82.97142857,5.911179308,83.18172876,0,-62.52777778,5.614891466,11757.81309,3709.242859
1,320440.283,90.65625,2.846152831,90.70091648,3,23.33333333,0.804030252,20115.44038,1945.618007
0,315885.6383,78.48648649,6.557939779,78.75998435,0,-58.15789474,5.97594439,9798.087559,3283.131578
1,320315.132,90.96875,2.822724471,91.01253348,2,23.48484848,0.925111365,19111.55878,2118.089107
0,316974.0457,77.36842105,6.563138902,77.64629655,0,-56.64102564,6.183050361,9076.559598,2963.28539
1,413271.4753,83.97058824,2.606386885,84.01102869,1,21.8,0.855235974,9415.739242,1098.307668
0,412823.311,74.64102564,4.817101903,74.79630458,0,-54.975,6.322529162,5226.725343,1421.03078
1,413413.7527,84.05882353,2.74334678,84.1035776,1,21.71428571,0.880630572,9415.106844,1111.689465
0,414487.1153,73.125,4.336977634,73.25349821,1,-52.90243902,6.362254847,4854.662458,562.9249889
0,603749.9287,89.25,4.582575695,89.36756962,0,31.21212121,9.722693154,19007.80056,4316.994268
1,413043.663,84.5,2.757343137,84.54497585,1,21.8,0.821149021,9478.231206,1140.934086
0,415423.9037,72.25,4.004684757,72.36090104,1,20.36585366,4.320998629,4708.204355,504.4321629
1,629664.8893,86.91176471,4.361378945,87.02112658,4,22.44117647,0.880881125,28318.28505,3599.911318
0,678641.043,72.7,4.712748667,72.85259089,0,19.90243902,1.143483724,13734.2426,4258.614486
1,633681.637,86.02941176,4.475326436,86.14573835,3,-62.94285714,5.115482701,27590.66162,4221.064682
0,681774.6913,70.41463415,4.992558412,70.59140416,0,19.33333333,1.168366109,11398.70397,3381.590311
1,637898.5917,84.34285714,4.146894584,84.44474102,4,22.27777778,0.931280812,26957.80836,3837.925194
1,640681.4643,83.42857143,3.146750835,83.48789476,3,-60.44444444,4.456234362,26564.86361,3936.814436
1,371297.9093,82.88888889,3.541639433,82.96451718,3,25.61111111,8.159104587,7796.116568,1721.930493
0,361785.567,71.56097561,4.737235895,71.71760338,1,18.78571429,0.637544183,6477.62771,1032.981166
1,497957.7363,95.70967742,3.133518566,95.76095911,6,22.21875,0.991664478,27315.38947,2476.651872
1,371342.695,82.91666667,4.245095209,83.02526389,4,27.52777778,8.99532629,8642.903879,2356.58215
0,362782.1633,69.95238095,4.439821859,70.09313532,0,18.60465116,0.651992826,6304.737714,933.9201979
1,406846.1633,83.11428571,5.375985909,83.2879686,7,22.13888889,1.134136426,14933.44658,2510.334135
0,423406.4237,72.2195122,4.205177965,72.34183757,0,19.19047619,1.258080458,6913.822802,2306.377809
1,411504.6583,82.34285714,5.40340029,82.5199543,5,22,1.154700538,14777.43021,2509.360593
1,623739.0307,92.375,4.967079122,92.50844556,7,23.21875,0.892131401,40926.72452,4397.939294
0,583004.1497,84.23529412,3.888586796,84.32500153,0,24,1.195228609,24406.70533,6733.693403
1,626822.9387,92.5625,4.609348517,92.67719515,8,23.27272727,1.376705054,40918.59677,4996.456672
1,649611.3863,95.58064516,5.20405669,95.72221234,7,25.06451613,1.522635319,37521.17255,6038.014307
0,664557.353,84.32352941,3.946111923,84.41581257,0,20.37142857,0.720544012,19215.69535,4610.321248
0,520308.7097,95.33333333,2.902106515,95.3774956,0,22.67741935,1.467653312,17466.98933,1754.147984
1,656394.2173,94.32258065,4.70680425,94.43994508,8,24.59375,1.538249309,36437.31978,5800.470678
0,667968.8207,83.48571429,3.849834346,83.57443218,0,20.22222222,0.885409858,17128.32571,4066.033305
1,362116.486,102.6071429,2.273123806,102.6323188,1,22.24137931,0.502076544,5838.001786,270.429963
0,367131.9553,92.90322581,2.619466071,92.94014723,0,22.90625,7.143000836,3758.641353,407.3252469
0,460351.3787,95.06666667,4.194705658,95.15916491,0,29.35483871,10.31299959,7160.534474,1186.645149
0,460706.9973,98.37931034,3.898839731,98.45653688,0,26.23333333,8.531054383,8498.038866,1039.667594
0,464691.931,91.1875,6.458702946,91.415945,0,28.81818182,10.2320191,5885.051187,1719.524065
