label,raw_mean,ppTime_mean,ppTime_std,ppTime_rms,nn50_num,pnn50,up_time_mean,up_time_std,amp_diff_mean,amp_diff_std,peak_amp_mean,peak_amp_std
0,499103.74,95.2,3.1559467676119,95.25229656024048,3,0.3,22.09090909090909,0.6680426571226848,27391.882990937273,1869.4878986347044,16057.738316810106,1720.8950101333828
0,494508.874,96.77777777777777,2.819683897877671,96.81884573206236,2,0.2222222222222222,22.8,0.6,27729.037390364865,1943.0216637940518,16844.840702625643,1529.4756387589891
0,500260.595,95.1,3.207802986469088,95.1540855665168,1,0.1,21.818181818181817,1.2662171161076472,26667.11717367148,3165.4484143213135,15932.441178440764,1622.268663655015
0,378206.249,82.0,4.06201920231798,82.10054811022884,1,0.08333333333333333,25.083333333333332,8.371164129850095,7224.8801622958745,1696.615964688725,4334.461536715267,1366.7308568998103
0,369212.06,83.81818181818181,3.432946834272583,83.88845407606894,0,0.0,28.363636363636363,9.027963902863423,9081.810988945332,1781.326368327161,5640.515617903958,1013.1362697185177
0,366609.776,83.0909090909091,5.053433494431744,83.24443743359892,1,0.09090909090909091,30.272727272727273,9.342871945946124,9869.841147620858,2672.3552174561596,5743.644135709893,1882.86917478146
1,357892.101,74.23076923076923,1.186711432349347,74.24025447569119,0,0.0,19.23076923076923,0.42132504423474315,7458.750133599477,304.33531623973767,4371.460445774545,359.1080767393429
1,362118.532,70.92307692307692,3.4072668600538614,71.00487523890389,0,0.0,18.642857142857142,0.4791574237499549,6378.912746880044,190.5649396132805,3755.0747755665775,157.10263900241466
1,368335.857,65.35714285714286,2.793030685145307,65.41679557160488,0,0.0,18.133333333333333,0.7180219742846006,5272.3767752986805,458.38971186404973,3049.5669639186367,252.78656431485808
0,401552.806,83.63636363636364,6.852640198197364,83.916625289629,3,0.2727272727272727,21.916666666666668,1.2555432644432805,16475.47771423723,2845.7531562649274,9613.561677171485,1617.3973296870124
0,708013.579,101.88888888888889,3.871389197818744,101.96241137464989,2,0.2222222222222222,23.3,1.4177446878757824,11064.601614934963,1041.006989494543,6639.212883708287,461.1123368392523
0,404358.792,84.36363636363636,5.261744046722829,84.52756408952698,3,0.2727272727272727,23.0,1.348399724926484,15013.443341644279,2319.8142360101792,8803.650607528607,1633.3934976153996
0,414626.892,82.18181818181819,3.5883189738164636,82.26011957642217,1,0.09090909090909091,21.833333333333332,0.9860132971832694,13015.868216777251,1316.1303036662948,7452.380288170109,840.4753432713225
1,410526.496,76.5,0.8660254037844386,76.50490180374065,0,0.0,20.46153846153846,0.634323942402717,9727.345782895774,1551.2465899443941,5670.894120387126,948.2816422060247
1,423699.959,72.76923076923077,2.390810810449239,72.80849485518104,0,0.0,19.142857142857142,0.6388765649999398,6611.993942384191,785.0556706834147,3702.8906582769446,406.6506727254645
1,435992.816,67.92857142857143,3.0346636837497143,67.99632343002084,0,0.0,18.133333333333333,1.0873004286866728,4750.5097389872735,808.4025937726344,2641.2504298198296,414.97302547599577
0,403086.45,82.81818181818181,5.077905470461433,82.9737088699569,2,0.18181818181818182,22.5,1.118033988749895,16748.75888994186,2941.5027877523003,9699.751893413353,1712.6541615418055
0,413349.643,83.45454545454545,4.658591991025075,83.58447006689482,1,0.09090909090909091,21.916666666666668,0.9537935951882998,14040.405559430523,1497.3741803410178,8042.344210810702,969.9972233426516
0,418077.882,80.45454545454545,5.852173432520393,80.6671049324433,1,0.09090909090909091,21.583333333333332,1.114924013354971,13487.39829871621,1443.5532251199745,7745.692388268307,767.328358094492
0,604790.611,93.3,4.243819034784589,93.3964667425915,2,0.2,23.272727272727273,1.656442468935327,38466.18782811303,4256.3387046197195,23317.63526629811,2159.5473472866142
0,627296.374,91.6,5.083306010855534,91.74093960713505,1,0.1,23.1,0.7000000000000001,40959.76194080085,4698.82696748685,23683.075807593963,3304.6553080773892
0,703314.563,101.22222222222223,3.8232556742411674,101.29440041559828,1,0.1111111111111111,24.0,0.9428090415820634,10947.45742741532,464.02267741185113,6041.934746036159,1931.5679348988645
0,639130.107,92.2,5.455272678794342,92.36124728477849,1,0.1,23.0,0.7745966692414834,43950.95921542781,3242.2857730520977,23888.209951159326,7501.309206262391
1,606876.029,86.1,2.467792535850613,86.13535859332102,0,0.0,24.0,1.5954480704349312,31560.465320002913,592.4784743949779,19131.223740512854,1046.9914781350706
1,567033.126,84.0909090909091,2.0205555246266247,84.11518077234119,0,0.0,24.166666666666668,0.5527707983925666,26080.74554179005,3066.6029423170967,15733.305178121533,1596.6745107312506
1,575103.294,82.54545454545455,5.4165342217331744,82.72297691144165,0,0.0,23.833333333333332,1.4043582955293932,16024.10994033221,1106.380223429236,9861.933859154427,725.8400763531831
0,621557.829,93.6,3.9293765408777,93.682442325123,4,0.4,22.818181818181817,0.9359663764533637,41513.523226021294,3443.440501832149,24724.7031844997,2394.4353109452263
0,630378.411,92.4,5.642694391866354,92.57213403611262,3,0.3,22.636363636363637,0.77138921583987,39568.29441388486,4931.044886775608,23413.16170512355,3142.0936297039484
0,628532.576,92.0,4.242640687119285,92.09777413162601,3,0.3,24.0,2.0,41339.306187234026,5711.315116065269,25117.97671393999,2584.5733809489097
0,632650.533,97.1,5.7,97.26715786944739,0,0.0,26.0,1.4142135623730951,43621.3553027978,4723.94879683125,24494.35345725574,8197.693567221344
0,649297.504,96.88888888888889,3.3811386788228748,96.94786686095208,2,0.2222222222222222,24.4,1.6852299546352716,34561.69702364186,3524.288176510694,21426.590150592026,1966.1636541872956
