ir,resp,pr,spo2,spo2_real,rrInterval
394596,19859,65,98,99,100
395207,19855,65,98,99,100
395789,19889,65,98,99,100
396412,19857,65,98,99,100
397067,19858,65,98,99,100
397741,19843,65,98,99,100
398424,19866,65,98,99,100
399088,19843,65,98,99,100
399736,19854,65,98,99,100
400387,19851,65,98,99,100
401025,19844,65,98,99,100
401622,19848,65,98,99,100
402236,19853,65,98,99,100
402853,19856,65,98,99,100
403444,19848,65,98,99,100
404092,19864,65,98,99,100
404749,19858,65,98,99,100
405383,19863,65,98,99,100
406021,19871,65,98,99,100
406637,19865,65,98,99,100
407152,19869,65,98,99,100
407368,19873,65,98,99,100
406962,19872,65,98,99,100
405506,19872,65,98,99,100
402627,19874,65,98,99,100
398088,19874,65,98,99,100
392036,19869,65,98,99,100
385153,19870,65,98,99,100
378369,19872,65,98,99,100
372858,19873,65,98,99,100
369210,19870,65,98,99,100
367102,19873,65,98,99,100
365904,19881,65,98,99,100
365280,19879,65,98,99,100
365088,19886,65,98,99,100
365241,19884,65,98,99,100
365653,19884,65,98,99,100
366207,19895,65,98,99,100
366907,19896,65,98,99,100
367684,19898,65,98,99,100
368454,19897,65,98,99,100
369187,19904,65,98,99,100
369844,19906,65,98,99,100
370401,19912,65,98,99,100
370875,19918,65,98,99,100
371289,19918,65,98,99,100
371671,19924,65,98,99,100
372093,19937,65,98,99,100
372605,19937,65,98,99,99
373250,19941,65,98,99,99
374000,19950,65,98,99,99
374806,19952,65,98,99,99
375589,19958,65,98,99,99
376231,19974,65,98,99,99
376656,19979,65,98,99,99
376872,19977,65,98,99,99
376848,19991,65,98,99,99
376628,19996,65,98,99,99
376257,19997,65,98,99,99
375749,20005,65,98,99,99
375201,20008,65,98,99,99
374678,20006,65,98,99,99
374246,20018,65,98,99,99
374000,20012,65,98,99,99
373957,20017,65,98,99,99
374109,20027,65,98,99,99
374459,20025,65,98,99,99
375005,20023,65,98,99,99
375736,20033,65,98,99,99
376596,20031,65,98,99,99
377578,20032,65,98,99,99
378678,20037,65,98,99,99
379864,20037,65,98,99,99
381075,20034,65,98,99,99
382271,20046,65,98,99,99
383505,20046,65,98,99,99
384674,20035,65,98,99,99
385793,20047,65,98,99,99
386877,20043,65,98,99,99
