ir,pr,spo2,rrInterval
703484,61,100,99
703569,61,100,99
703558,61,100,99
703352,61,100,99
702838,61,100,99
702027,61,100,99
700922,61,100,99
699496,61,100,99
698078,61,100,99
696753,61,100,99
695630,61,100,99
694803,61,100,99
694114,61,100,99
693725,61,100,99
693511,61,100,99
693430,61,100,99
693477,61,100,99
693548,61,100,99
693678,61,100,99
693843,61,100,99
693968,61,100,99
693992,61,100,99
694008,61,100,99
694003,61,100,99
693993,61,100,99
693938,61,100,99
693927,61,100,99
693987,61,100,99
694054,61,100,99
694218,61,100,99
694372,61,100,101
694596,61,100,101
694794,61,100,101
694925,61,100,101
695041,61,100,101
695072,61,100,101
695139,61,100,101
695115,61,100,101
695094,61,100,101
695089,61,100,101
695004,61,100,101
695013,61,100,101
694989,61,100,101
694949,61,100,101
695018,61,100,101
695069,61,100,101
695181,61,100,101
695333,61,100,101
695524,61,100,101
695773,61,100,101
695937,61,100,101
696137,61,100,101
696387,61,100,101
696552,61,100,101
696801,61,100,101
697080,61,100,101
697266,61,100,101
697492,61,100,101
697737,61,100,101
697954,61,100,101
698104,61,100,101
698319,61,100,101
698537,61,100,101
698655,61,100,101
698823,61,100,101
699015,61,100,101
699152,61,100,101
699298,61,100,101
699462,61,100,101
699660,61,100,101
699850,61,100,101
699994,61,100,101
700175,61,100,101
700342,61,100,101
700525,61,100,101
700714,61,100,101
700898,61,100,101
701106,61,100,101
701353,61,100,101
701556,61,100,101
701755,61,100,101
701986,61,100,101
702201,61,100,101
702372,61,100,101
702554,61,100,101
702841,61,100,101
702965,61,100,101
703126,61,100,101
703413,61,100,101
703568,61,100,101
703713,61,100,101
703942,61,100,101
704146,61,100,101
704335,61,100,101
704569,61,100,101
704800,61,100,101
705030,61,100,101
705287,61,100,101
705519,61,100,101
705680,61,100,101
705744,61,100,101
705687,61,100,101
705411,61,100,101
704783,61,100,101
703858,61,100,101
702533,61,100,101
700950,61,100,101
699456,61,100,101
698022,61,100,101
696792,61,100,101
695886,61,100,101
695227,61,100,101
694798,61,100,101
694541,61,100,101
694544,61,100,101
694638,61,100,101
694694,61,100,101
694813,61,100,101
694925,61,100,101
694994,61,100,101
695021,61,100,101
694977,61,100,101
694930,61,100,101
694826,61,100,101
694698,61,100,101
694611,61,100,101
694526,61,100,101
694469,61,100,101
694548,61,100,98
694662,61,100,98
694818,61,100,98
695020,61,100,98
695245,61,100,98
695461,61,100,98
695611,61,100,98
695785,61,100,98
695896,61,100,98
695952,61,100,98
696008,61,100,98
696056,61,100,98
696069,61,100,98
696081,61,100,98
696101,61,100,98
696129,61,100,98
696175,61,100,98
696238,61,100,98
696362,61,100,98
696466,61,100,98
696614,61,100,98
696768,61,100,98
696931,61,100,98
697136,61,100,98
697352,61,100,98
697611,61,100,98
697818,61,100,98
698049,61,100,98
698289,61,100,98
698469,61,100,98
698675,61,100,98
698946,61,100,98
699164,61,100,98
699358,61,100,98
699618,61,100,98
699819,61,100,98
699969,61,100,98
700136,61,100,98
700271,61,100,98
700437,61,100,98
700665,61,100,98
700841,61,100,98
701028,61,100,98
701248,61,100,98
701432,61,100,98
701602,61,100,98
701776,61,100,98
701907,61,100,98
702109,61,100,98
702315,61,100,98
702515,61,100,98
702777,61,100,98
703000,61,100,98
703239,61,100,98
703452,61,100,98
703650,61,100,98
703840,61,100,98
704026,61,100,98
704261,61,100,98
704452,61,100,98
704656,61,100,98
704902,61,100,98
705133,61,100,98
705338,61,100,98
705563,61,100,98
705842,61,100,98
706074,61,100,98
706276,61,100,98
706512,61,100,98
706722,61,100,98
706900,61,100,98
707123,61,100,98
707360,61,100,98
707581,61,100,98
707811,61,100,98
708069,61,100,98
708315,61,100,98
708553,61,100,98
708790,61,100,98
708980,61,100,98
709107,61,100,98
709004,61,100,98
708682,61,100,98
708005,61,100,98
706975,61,100,98
705630,61,100,98
704103,61,100,98
702627,61,100,98
701295,61,100,98
700162,61,100,98
699305,61,100,98
698747,61,100,98
698385,61,100,98
698283,61,100,98
698262,61,100,98
698328,61,100,98
698449,61,100,98
698601,61,100,98
698721,61,100,98
698803,61,100,98
698869,61,100,98
698899,61,100,98
698943,61,100,98
698904,61,100,98
698849,61,100,98
698844,61,100,98
698879,61,100,98
698925,61,100,98
699062,61,100,108
699219,61,100,108
699424,61,100,108
699649,61,100,108
699815,61,100,108
699972,61,100,108
700080,61,100,108
700144,61,100,108
700171,61,100,108
700162,61,100,108
700143,61,100,108
700104,61,100,108
699978,61,100,108
699912,61,100,108
699929,61,100,108
699905,61,100,108
699964,61,100,108
700076,61,100,108
700224,61,100,108
700398,61,100,108
700557,61,100,108
700740,61,100,108
700904,61,100,108
701099,61,100,108
701280,61,100,108
701440,61,100,108
701680,61,100,108
701860,61,100,108
702068,61,100,108
702312,61,100,108
702482,61,100,108
702704,61,100,108
702916,61,100,108
703069,61,100,108
703276,61,100,108
703466,61,100,108
703623,61,100,108
703880,61,100,108
704052,61,100,108
704222,61,100,108
704430,61,100,108
704532,61,100,108
704755,61,100,108
704971,61,100,108
705107,61,100,108
705266,61,100,108
705449,61,100,108
705610,61,100,108
705755,61,100,108
706010,61,100,108
706215,61,100,108
706404,61,100,108
706586,61,100,108
706791,61,100,108
707011,61,100,108
707184,61,100,108
707403,61,100,108
707602,61,100,108
707778,61,100,108
707974,61,100,108
708183,61,100,108
708346,61,100,108
708594,61,100,108
708819,61,100,108
708998,61,100,108
709262,61,100,108
709509,61,100,108
709752,61,100,108
710004,61,100,108
710319,61,100,108
710566,61,100,108
710852,61,100,108
711073,61,100,108
711184,61,100,108
711299,61,100,108
711200,61,100,108
710816,61,100,108
710104,61,100,108
709056,61,100,108
707615,61,100,108
705933,61,100,108
704290,61,100,108
702823,61,100,108
701649,61,100,108
700704,61,100,108
700069,61,100,108
699701,61,100,108
699488,61,100,108
699431,61,100,108
699538,61,100,108
699682,61,100,108
699812,61,100,108
699989,61,100,108
700067,61,100,108
700099,61,100,108
700124,61,100,108
700118,61,100,108
700066,61,100,108
699989,61,100,108
699953,61,100,108
699894,61,100,108
699890,61,100,108
699921,60,100,102
700043,60,100,102
700190,60,100,102
700380,60,100,102
700674,60,100,102
700898,60,100,102
701070,60,100,102
701230,60,100,102
701340,60,100,102
701394,60,100,102
701380,60,100,102
701412,60,100,102
701454,60,100,102
701393,60,100,102
701408,60,100,102
701437,60,100,102
701446,60,100,102
701489,60,100,102
701613,60,100,102
701728,60,100,102
701852,60,100,102
702049,60,100,102
702207,60,100,102
702436,60,100,102
702655,60,100,102
702865,60,100,102
703086,60,100,102
703308,60,100,102
703555,60,100,102
703747,60,100,102
704018,60,100,102
704249,60,100,102
704450,60,100,102
704709,60,100,102
704913,60,100,102
705154,60,100,102
705358,60,100,102
705602,60,100,102
705843,60,100,102
706008,60,100,102
706234,60,100,102
706437,60,100,102
706627,60,100,102
706845,60,100,102
706991,60,100,102
707208,60,100,102
707415,60,100,102
707597,60,100,102
707856,60,100,102
708062,60,100,102
708232,60,100,102
708425,60,100,102
708664,60,100,102
708859,60,100,102
709059,60,100,102
709327,60,100,102
709578,60,100,102
709806,60,100,102
709985,60,100,102
710250,60,100,102
710538,60,100,102
710722,60,100,102
710986,60,100,102
711253,60,100,102
711464,60,100,102
711749,60,100,102
712007,60,100,102
712271,60,100,102
712539,60,100,102
712769,60,100,102
713083,60,100,102
713335,60,100,102
713551,60,100,102
713842,60,100,102
714114,60,100,102
714318,60,100,102
714569,60,100,102
714825,60,100,102
715057,60,100,102
715338,60,100,102
715584,60,100,102
715743,60,100,102
715803,60,100,102
715613,60,100,102
715082,60,100,102
714206,60,100,102
712961,60,100,102
711377,60,100,102
709666,60,100,102
708067,60,100,102
706661,60,100,102
705496,60,100,102
704663,60,100,102
704155,60,100,102
703820,60,100,102
703673,60,100,102
703744,60,100,102
703873,60,100,102
704016,60,100,102
704214,60,100,102
704351,60,100,102
704495,60,100,102
704615,60,100,102
704647,60,100,102
704729,60,100,102
704784,60,100,102
704801,60,100,102
704848,60,100,102
704880,60,100,102
704996,60,100,102
705134,60,100,110
705291,60,100,110
705520,60,100,110
705708,60,100,110
705877,60,100,110
706023,60,100,110
706148,60,100,110
706218,60,100,110
706290,60,100,110
706340,60,100,110
706332,60,100,110
706323,60,100,110
706243,60,100,110
706240,60,100,110
706228,60,100,110
706193,60,100,110
706228,60,100,110
706315,60,100,110
706414,60,100,110
706528,60,100,110
706699,60,100,110
706870,60,100,110
707051,60,100,110
707267,60,100,110
707468,60,100,110
707673,60,100,110
707912,60,100,110
708129,60,100,110
708327,60,100,110
708605,60,100,110
708851,60,100,110
709042,60,100,110
709294,60,100,110
709508,60,100,110
709723,60,100,110
709925,60,100,110
710122,60,100,110
710319,60,100,110
710467,60,100,110
710622,60,100,110
710779,60,100,110
710944,60,100,110
711105,60,100,110
711230,60,100,110
711411,60,100,110
711631,60,100,110
711767,60,100,110
711969,60,100,110
712186,60,100,110
712355,60,100,110
712543,60,100,110
712730,60,100,110
712929,60,100,110
713145,60,100,110
713329,60,100,110
713519,60,100,110
713751,60,100,110
713935,60,100,110
714135,60,100,110
714337,60,100,110
714521,60,100,110
714726,60,100,110
714903,60,100,110
715087,60,100,110
715332,60,100,110
715551,60,100,110
715727,60,100,110
715982,60,100,110
716269,60,100,110
716475,60,100,110
716729,60,100,110
717009,60,100,110
717228,60,100,110
717378,60,100,110
717425,60,100,110
717316,60,100,110
716912,60,100,110
716244,60,100,110
715187,60,100,110
713710,60,100,110
712171,60,100,110
710592,60,100,110
709164,60,100,110
708068,60,100,110
707189,60,100,110
706599,60,100,110
706292,60,100,110
706128,60,100,110
706091,60,100,110
706197,60,100,110
706363,60,100,110
706528,60,100,110
706665,60,100,110
706807,60,100,110
706913,60,100,110
706961,60,100,110
707017,60,100,110
707007,60,100,110
706969,60,100,110
706981,60,100,110
707005,60,100,110
707050,60,100,110
707152,59,100,102
707323,59,100,102
707511,59,100,102
707699,59,100,102
707906,59,100,102
708056,59,100,102
708143,59,100,102
708202,59,100,102
708248,59,100,102
708281,59,100,102
708305,59,100,102
708267,59,100,102
708241,59,100,102
708232,59,100,102
708216,59,100,102
708264,59,100,102
708292,59,100,102
708417,59,100,102
708565,59,100,102
708695,59,100,102
708920,59,100,102
709075,59,100,102
709301,59,100,102
709508,59,100,102
709715,59,100,102
709938,59,100,102
710148,59,100,102
710411,59,100,102
710639,59,100,102
710871,59,100,102
711147,59,100,102
711436,59,100,102
711641,59,100,102
711815,59,100,102
712033,59,100,102
712232,59,100,102
712372,59,100,102
712541,59,100,102
712774,59,100,102
712927,59,100,102
713100,59,100,102
713340,59,100,102
713480,59,100,102
713655,59,100,102
713863,59,100,102
714000,59,100,102
714178,59,100,102
714381,59,100,102
714565,59,100,102
714795,59,100,102
715044,59,100,102
715224,59,100,102
715439,59,100,102
715657,59,100,102
715873,59,100,102
716106,59,100,102
716348,59,100,102
716615,59,100,102
716882,59,100,102
717115,59,100,102
717275,59,100,102
717526,59,100,102
717767,59,100,102
718008,59,100,102
718276,59,100,102
718550,59,100,102
718837,59,100,102
719057,59,100,102
719270,59,100,102
719507,59,100,102
719770,59,100,102
720009,59,100,102
720274,59,100,102
720550,59,100,102
720778,59,100,102
721009,59,100,102
721148,59,100,102
721106,59,100,102
720768,59,100,102
720159,59,100,102
719159,59,100,102
717685,59,100,102
716016,59,100,102
714312,59,100,102
712727,59,100,102
711359,59,100,102
710328,59,100,102
709516,59,100,102
708985,59,100,102
708747,59,100,102
708606,59,100,102
708617,59,100,102
708725,59,100,102
708833,59,100,102
708945,59,100,102
709069,59,100,102
709166,59,100,102
709231,59,100,102
709219,59,100,102
709203,59,100,102
709142,59,100,102
709074,59,100,102
709007,59,100,102
709011,59,100,102
709030,59,100,102
709075,59,100,105
709272,59,100,105
709373,59,100,105
709529,59,100,105
709740,59,100,105
709903,59,100,105
710049,59,100,105
710150,59,100,105
710188,59,100,105
710214,59,100,105
710193,59,100,105
710123,59,100,105
710152,59,100,105
710103,59,100,105
709991,59,100,105
710039,59,100,105
710051,59,100,105
710083,59,100,105
710145,59,100,105
710256,59,100,105
710474,59,100,105
710608,59,100,105
710757,59,100,105
710982,59,100,105
711171,59,100,105
711368,59,100,105
711583,59,100,105
711826,59,100,105
712065,59,100,105
712257,59,100,105
712529,59,100,105
712762,59,100,105
712944,59,100,105
713144,59,100,105
713334,59,100,105
713535,59,100,105
713744,59,100,105
713949,59,100,105
714073,59,100,105
714263,59,100,105
714454,59,100,105
714599,59,100,105
714804,59,100,105
714979,59,100,105
715155,59,100,105
715351,59,100,105
715521,59,100,105
715671,59,100,105
715870,59,100,105
716053,59,100,105
716274,59,100,105
716505,59,100,105
716663,59,100,105
716866,59,100,105
717024,59,100,105
717243,59,100,105
717453,59,100,105
717684,59,100,105
717899,59,100,105
718090,59,100,105
718283,59,100,105
718429,59,100,105
718633,59,100,105
718800,59,100,105
718949,59,100,105
719176,59,100,105
719440,59,100,105
719597,59,100,105
719798,59,100,105
720059,59,100,105
720245,59,100,105
720408,59,100,105
720640,59,100,105
720713,59,100,105
720559,59,100,105
720217,59,100,105
719464,59,100,105
718345,59,100,105
716991,59,100,105
715428,59,100,105
713925,59,100,105
712644,59,100,105
711565,59,100,105
710714,59,100,105
710098,59,100,105
709723,59,100,105
709543,59,100,105
709480,59,100,105
709494,59,100,105
709663,59,100,105
709824,59,100,105
709948,59,100,105
710051,59,100,105
710115,59,100,105
710164,59,100,105
710165,59,100,105
710190,59,100,105
710194,59,100,105
710249,59,100,105
710376,59,100,105
710469,59,100,105
710592,58,100,101
710752,58,100,101
710877,58,100,101
711005,58,100,101
711128,58,100,101
711211,58,100,101
711189,58,100,101
711169,58,100,101
711151,58,100,101
711073,58,100,101
711017,58,100,101
710978,58,100,101
710913,58,100,101
710854,58,100,101
710797,58,100,101
710803,58,100,101
710828,58,100,101
710902,58,100,101
711072,58,100,101
711223,58,100,101
711374,58,100,101
711538,58,100,101
711709,58,100,101
711889,58,100,101
712094,58,100,101
712288,58,100,101
712498,58,100,101
712714,58,100,101
712892,58,100,101
713091,58,100,101
713259,58,100,101
713442,58,100,101
713626,58,100,101
713777,58,100,101
713948,58,100,101
714094,58,100,101
714283,58,100,101
714389,58,100,101
714532,58,100,101
714768,58,100,101
714861,58,100,101
714948,58,100,101
715129,58,100,101
715310,58,100,101
715426,58,100,101
715593,58,100,101
715760,58,100,101
715890,58,100,101
715991,58,100,101
716118,58,100,101
716270,58,100,101
716408,58,100,101
716612,58,100,101
716839,58,100,101
717011,58,100,101
717194,58,100,101
717336,58,100,101
717509,58,100,101
717719,58,100,101
717886,58,100,101
718096,58,100,101
718300,58,100,101
718514,58,100,101
718712,58,100,101
718842,58,100,101
718961,58,100,101
718970,58,100,101
718791,58,100,101
718441,58,100,101
717713,58,100,101
716574,58,100,101
715173,58,100,101
713553,58,100,101
712000,58,100,101
710590,58,100,101
709394,58,100,101
708476,58,100,101
707769,58,100,101
707324,58,100,101
707010,58,100,101
706852,58,100,101
706838,58,100,101
706829,58,100,101
706876,58,100,101
706915,58,100,101
706870,58,100,101
706826,58,100,101
706718,58,100,101
706560,58,100,101
706409,58,100,101
706258,58,100,101
706109,58,100,101
705962,58,100,101
705900,58,100,101
705900,58,100,101
705907,58,100,95
705980,58,100,95
706078,58,100,95
706182,58,100,95
706254,58,100,95
706362,58,100,95
706442,58,100,95
706484,58,100,95
706502,58,100,95
706484,58,100,95
706449,58,100,95
706349,58,100,95
706259,58,100,95
706187,58,100,95
706174,58,100,95
706144,58,100,95
706130,58,100,95
706176,58,100,95
706238,58,100,95
706304,58,100,95
706473,58,100,95
706561,58,100,95
706662,58,100,95
706862,58,100,95
706978,58,100,95
707111,58,100,95
707280,58,100,95
707438,58,100,95
707553,58,100,95
707727,58,100,95
707918,58,100,95
708023,58,100,95
708156,58,100,95
708352,58,100,95
708559,58,100,95
708693,58,100,95
708833,58,100,95
709042,58,100,95
709180,58,100,95
709304,58,100,95
709394,58,100,95
709550,58,100,95
709738,58,100,95
709884,58,100,95
710067,58,100,95
710239,58,100,95
710434,58,100,95
710596,58,100,95
710731,58,100,95
710908,58,100,95
711056,58,100,95
711211,58,100,95
711463,58,100,95
711636,58,100,95
711795,58,100,95
711984,58,100,95
712199,58,100,95
712423,58,100,95
712543,58,100,95
712720,58,100,95
712935,58,100,95
713056,58,100,95
713230,58,100,95
713420,58,100,95
713656,58,100,95
713858,58,100,95
714026,58,100,95
714275,58,100,95
714487,58,100,95
714675,58,100,95
714842,58,100,95
715015,58,100,95
715120,58,100,95
715147,58,100,95
714983,58,100,95
714546,58,100,95
713801,58,100,95
712698,58,100,95
711308,58,100,95
709779,58,100,95
708346,58,100,95
707011,58,100,95
705971,58,100,95
705141,58,100,95
704479,58,100,95
704108,58,100,95
703860,58,100,95
703818,58,100,95
703805,58,100,95
703846,58,100,95
703901,58,100,95
703924,58,100,95
703924,58,100,95
703895,58,100,95
703856,58,100,95
703740,58,100,95
703604,58,100,95
703427,58,100,95
703320,58,100,95
703257,58,100,95
703246,58,100,95
703300,58,100,101
703425,58,100,101
703609,58,100,101
703752,58,100,101
703879,58,100,101
704013,58,100,101
704075,58,100,101
704119,58,100,101
704136,58,100,101
704074,58,100,101
704002,58,100,101
703971,58,100,101
703887,58,100,101
703795,58,100,101
703828,58,100,101
703798,58,100,101
703818,58,100,101
703878,58,100,101
703927,58,100,101
704029,58,100,101
704129,58,100,101
704291,58,100,101
704390,58,100,101
704522,58,100,101
704700,58,100,101
704809,58,100,101
704920,58,100,101
705115,58,100,101
705325,58,100,101
705465,58,100,101
705685,58,100,101
705843,58,100,101
705974,58,100,101
706141,58,100,101
706235,58,100,101
706377,58,100,101
706516,58,100,101
706601,58,100,101
706733,58,100,101
706885,58,100,101
707031,58,100,101
707153,58,100,101
707314,58,100,101
707460,58,100,101
707567,58,100,101
707709,58,100,101
707829,58,100,101
708015,58,100,101
708165,58,100,101
708237,58,100,101
708458,58,100,101
708611,58,100,101
708723,58,100,101
708913,58,100,101
709039,58,100,101
709221,58,100,101
709426,58,100,101
709553,58,100,101
709733,58,100,101
709956,58,100,101
710076,58,100,101
710208,58,100,101
710403,58,100,101
710514,58,100,101
710676,58,100,101
710845,58,100,101
710989,58,100,101
711168,58,100,101
711300,58,100,101
711396,58,100,101
711460,58,100,101
711349,58,100,101
711009,58,100,101
710438,58,100,101
709518,58,100,101
708263,58,100,101
706881,58,100,101
705491,58,100,101
704171,58,100,101
703109,58,100,101
702269,58,100,101
701664,58,100,101
701287,58,100,101
701035,58,100,101
700965,58,100,101
700995,58,100,101
701012,58,100,101
701092,58,100,101
701145,58,100,101
701122,58,100,101
701075,58,100,101
701025,58,100,101
700936,58,100,101
700805,58,100,101
700680,58,100,101
700649,58,100,101
700653,58,100,101
700624,58,100,101
700712,58,100,98
700799,58,100,98
700946,58,100,98
701122,58,100,98
701179,58,100,98
701279,58,100,98
701319,58,100,98
701274,58,100,98
701250,58,100,98
701188,58,100,98
701102,58,100,98
701005,58,100,98
700898,58,100,98
700862,58,100,98
700832,58,100,98
700800,58,100,98
700807,58,100,98
700859,58,100,98
700910,58,100,98
701040,58,100,98
701199,58,100,98
701311,58,100,98
701500,58,100,98
701673,58,100,98
701812,58,100,98
701959,58,100,98
702198,58,100,98
702349,58,100,98
702504,58,100,98
702706,58,100,98
702853,58,100,98
703021,58,100,98
703144,58,100,98
703250,58,100,98
703371,58,100,98
703499,58,100,98
703641,58,100,98
703773,58,100,98
703897,58,100,98
704025,58,100,98
704173,58,100,98
704308,58,100,98
704405,58,100,98
704543,58,100,98
704659,58,100,98
704762,58,100,98
704886,58,100,98
705023,58,100,98
705185,58,100,98
705336,58,100,98
705487,58,100,98
705672,58,100,98
705887,58,100,98
706038,58,100,98
706178,58,100,98
706360,58,100,98
706526,58,100,98
706657,58,100,98
706827,58,100,98
707022,58,100,98
707188,58,100,98
707367,58,100,98
707584,58,100,98
707754,58,100,98
707907,58,100,98
708092,58,100,98
708311,58,100,98
708492,58,100,98
708713,58,100,98
708945,58,100,98
709116,58,100,98
709344,58,100,98
709534,58,100,98
709621,58,100,98
709671,58,100,98
709605,58,100,98
709256,58,100,98
708621,58,100,98
707597,58,100,98
706257,58,100,98
704710,58,100,98
703155,58,100,98
701733,58,100,98
700514,58,100,98
699551,58,100,98
698865,58,100,98
698360,58,100,98
698037,58,100,98
